Variant: 1111686, Frequency: 1
Variant: 111186, Frequency: 1
Variant: 11118986, Frequency: 1
Variant: 1116, Frequency: 2
Variant: 11186, Frequency: 13
Variant: 111866, Frequency: 1
Variant: 11186826826, Frequency: 1
Variant: 111868986, Frequency: 1
Variant: 111896, Frequency: 4
Variant: 1118986, Frequency: 4
Variant: 111898986, Frequency: 2
Variant: 111986, Frequency: 1
Variant: 116, Frequency: 15
Variant: 118256, Frequency: 1
Variant: 11826, Frequency: 1
Variant: 1186, Frequency: 207
Variant: 11866, Frequency: 7
Variant: 118666, Frequency: 1
Variant: 118686, Frequency: 3
Variant: 11868986, Frequency: 1
Variant: 118689868986, Frequency: 1
Variant: 11876, Frequency: 1
Variant: 11886, Frequency: 3
Variant: 11896, Frequency: 12
Variant: 1189686, Frequency: 1
Variant: 1189826, Frequency: 1
Variant: 118986, Frequency: 35
Variant: 1189868886, Frequency: 1
Variant: 1189868986, Frequency: 1
Variant: 1189896, Frequency: 2
Variant: 11898986, Frequency: 2
Variant: 118996, Frequency: 1
Variant: 1189986, Frequency: 3
Variant: 11986, Frequency: 2
Variant: 1198986, Frequency: 1
Variant: 16, Frequency: 146
Variant: 166, Frequency: 53
Variant: 1666, Frequency: 1
Variant: 1686, Frequency: 1
Variant: 16996, Frequency: 1
Variant: 18226, Frequency: 1
Variant: 18246, Frequency: 2
Variant: 182556, Frequency: 1
Variant: 1826, Frequency: 17
Variant: 1826826, Frequency: 1
Variant: 182686, Frequency: 1
Variant: 182896, Frequency: 2
Variant: 18426, Frequency: 1
Variant: 184446, Frequency: 1
Variant: 1844866, Frequency: 1
Variant: 1846, Frequency: 4
Variant: 184896, Frequency: 1
Variant: 1856, Frequency: 1
Variant: 186, Frequency: 2173
Variant: 1866, Frequency: 103
Variant: 1866686, Frequency: 1
Variant: 186686, Frequency: 1
Variant: 18668986, Frequency: 1
Variant: 186826, Frequency: 2
Variant: 186826826, Frequency: 1
Variant: 18686, Frequency: 48
Variant: 186866, Frequency: 2
Variant: 18686826, Frequency: 1
Variant: 186868986, Frequency: 1
Variant: 186886, Frequency: 1
Variant: 186896, Frequency: 1
Variant: 1868986, Frequency: 18
Variant: 1868989896, Frequency: 1
Variant: 18696, Frequency: 1
Variant: 1876, Frequency: 1
Variant: 1878986, Frequency: 1
Variant: 18826, Frequency: 1
Variant: 18846, Frequency: 1
Variant: 1886, Frequency: 29
Variant: 188686, Frequency: 1
Variant: 18876, Frequency: 1
Variant: 18886, Frequency: 7
Variant: 1888686886, Frequency: 1
Variant: 1888986, Frequency: 2
Variant: 18889986, Frequency: 1
Variant: 18896, Frequency: 3
Variant: 188986, Frequency: 8
Variant: 1889868986, Frequency: 1
Variant: 1889986, Frequency: 2
Variant: 1896, Frequency: 276
Variant: 18966, Frequency: 8
Variant: 18968866, Frequency: 1
Variant: 1896896, Frequency: 3
Variant: 189826, Frequency: 1
Variant: 18982686, Frequency: 1
Variant: 18986, Frequency: 222
Variant: 189866, Frequency: 5
Variant: 1898686, Frequency: 10
Variant: 189868982686, Frequency: 1
Variant: 189868986, Frequency: 2
Variant: 189886, Frequency: 2
Variant: 1898898986, Frequency: 1
Variant: 189896, Frequency: 16
Variant: 1898966, Frequency: 2
Variant: 1898986, Frequency: 17
Variant: 189898686, Frequency: 1
Variant: 18989868986, Frequency: 1
Variant: 189898986, Frequency: 2
Variant: 1898989868986, Frequency: 1
Variant: 18989898986, Frequency: 1
Variant: 18996, Frequency: 12
Variant: 189966, Frequency: 2
Variant: 189986, Frequency: 20
Variant: 18998666, Frequency: 1
Variant: 189989826, Frequency: 1
Variant: 18998986, Frequency: 1
Variant: 18998998886, Frequency: 1
Variant: 189996, Frequency: 2
Variant: 1899986, Frequency: 1
Variant: 1899996, Frequency: 1
Variant: 196, Frequency: 8
Variant: 1966, Frequency: 2
Variant: 1986, Frequency: 14
Variant: 19866, Frequency: 4
Variant: 19868986, Frequency: 1
Variant: 198986, Frequency: 7
Variant: 1989868986, Frequency: 1
Variant: 19898689868986, Frequency: 1
Variant: 1996, Frequency: 2
Variant: 19986, Frequency: 1
Variant: 256, Frequency: 1
Variant: 3111186, Frequency: 1
Variant: 311186, Frequency: 3
Variant: 31186, Frequency: 7
Variant: 311896, Frequency: 1
Variant: 3118986, Frequency: 5
Variant: 31198686, Frequency: 1
Variant: 31811986, Frequency: 1
Variant: 31826, Frequency: 1
Variant: 3186, Frequency: 70
Variant: 31866, Frequency: 1
Variant: 318686, Frequency: 1
Variant: 3186866, Frequency: 1
Variant: 31868986, Frequency: 3
Variant: 318986, Frequency: 6
Variant: 31898986, Frequency: 2
Variant: 3189986, Frequency: 1
Variant: 386, Frequency: 3
Variant: 6, Frequency: 1
Variant: 686, Frequency: 1
Variant: 86, Frequency: 30
Variant: 866, Frequency: 1
Variant: 8666, Frequency: 1
Variant: 868986, Frequency: 1
Variant: 8886, Frequency: 1
Variant: 896, Frequency: 11
Variant: 89866, Frequency: 2
Variant: 8996, Frequency: 1
Variant: 96, Frequency: 1
